code;name;warehouse_sale_code;warehouse_sale_name
00193;Пенза Candy Коллаж;01884;Склад Candy Пенза ТЦ Коллаж ЭИ
00194;Нижний Новгород Candy Гагарина пр-т;01888;Склад Candy пр-т Гагарина ЭИ
00198;Краснодар ТРЦ СБС  Candy;01893;Склад Краснодар ТРЦ СБС Candy ЭИ
00195;_Новороссийск Candy;01896;Склад Новороссийск Candy Красная площадь ЭИ
00197;Самара Candy Амбар;01905;М-н Самара Candy ТЦ Амбар ЭИ
00199;Тамбов РИО Haier;01908;Склад Haier Тамбов ТЦ  Рио ЭИ
00206;Краснодар Candy ТРЦ Оз Молл;01914;Склад Candy Краснодар ТРЦ Оз Молл ЭИ
00207;Воронеж Candy гал Чижова;01918;Склад Candy Воронеж ЭИ
00209;Самара Haier Амбар;01925;М-н Самара ТЦ Амбар Haier ЭИ
00205;Иваново Haier ТЦ Тополь;01931;Склад Haier Иваново ТЦ ТопольЭИ
00208;Орел Haier ТЦ Гринн;01936;Склад Haier Орел ТЦ Гринн ЭИ
00067;Пермь;01955;Склад Екатеринбург СОХ п.Исток ЭИ
00062;Челябинск;01955;Склад Екатеринбург СОХ п.Исток ЭИ
00064;Тюмень;01955;Склад Екатеринбург СОХ п.Исток ЭИ
00065;Нижний Тагил;01955;Склад Екатеринбург СОХ п.Исток ЭИ
00047;Екатеринбург;01955;Склад Екатеринбург СОХ п.Исток ЭИ
00213;Череповец Haier ТЦ Мармелад;01964;Склад Череповец Haier ТЦ Мармелад ЭИ
00215;Ярославль Candy ТЦ Аура;01974;Склад Ярославль Candy Аура ЭИ
00221;Волгоград Candy Мармелад;01990;Склад Candy Волгоград ТЦ Мармелад ЭИ
00222;МСК Candy Белая Дача ;01994;Склад Candy Белая Дача ЭИ
00218;Адыгея Candy;01998;Склад Candy Адыгея ЭИ
00219;Нижний Новгород Candy Федяково;02002;Склад Candy Федяково ЭИ
00220;С-Петербург Candy Дыбенко;02008;М-н СПБ Candy Дыбенко ЭИ
00223;МСК DeLonghi  Химки МЕГА;02010;Склад DeLonghi Химки ЭИ
00225;МСК Huawei Химки МЕГА;02027;Склад Huawei  Химки ЭИ
00228;Севастополь Candy Муссон;02032;Склад Candy Севастополь ТЦ Муссон ЭИ
00229;С-Петербург Балкания Нова;02034;Склад СПБ Haier Балкания Нова ЭИ
00231;Владимир Haier ТЦ Мегаторг;02040;Склад Владимир Haier ТЦ Мегаторг ЭИ
00230;С-Петербург Candy Парнас;02047;М-н СПБ Candy Парнас ЭИ
00227;МСК Huawei ТЦ Рио Дмитровка;02052;Склад Huawei ТЦ Рио Дмитровка ЭИ
00226;МСК Huawei ТЦ Мозаика;02055;Склад Huawei ТЦ Мозаика ЭИ
00232;МСК Haier ТЦ Рио Дмитровка;02092;Склад Haier ТЦ Рио Дмитровка ЭИ
00234;Ростов-на-Дону Candy Аксай;02099;Склад Candy Ростов-На-Дону ТЦ Мега Аксай ЭИ
